id,text,label
8D9gi-dxBvz-L-etXKNQzQ,"We just purchased a home in Gilbert and could not get anyone to refer an electrical company.  All outlets on the outside of the house were dead and we could not find a reset for the GFI switches.  I found Dodge Electric on Yelp and sent an email on Saturday morning about 8 am.  By 11:00  Saturday morning Preston had called and setup an appointment to check the problem.  He came to our house check the outlet,  did some troubleshooting and in about 20 minutes everything was working.  He was fantastic and I would recommend this company to everyone!",5
G-VstLqJog6xPkkbVEfGPQ,"After reading a lot of reviews it seems like Kumi's success rate depends on what you order. I'd agree on that.

By my friend's suggestion we ordered:

-the rock shrimp tempura 
-the crispy rice (blackened essentially seared tuna on top of crispy cubes of rice with ""screaming O sauce) on top
-the Hot Mess roll (with screaming O sauce) 
-the miso black cod
-a gin tonic
-a Green Geisha cocktail (Bombay Sapphire East, Cucumber, Melon, Thai Basil, Lime, Togarashi Syrup) 

--- Would DIE to eat again: 

1. The miso black cod will change your life. The fish is INSANELY tender and so tasty and the small sliver of skin was so incredibly NOM. My fried told me this cod is marinated for 2 weeks before serving and it definitely tasted that way. Every little fleck of fish meat tasted like a flavor bomb. 

2. The Hot Mess roll. That ""screaming O sauce"" is super nom and the sashimi poke all along the top of the roll totally hit the spot for me. I had been craving sashimi for awhile so this was lovely. 

3. The Green Geisha cocktail was delicious. I'm normally not a fan of cucumber but our waitress suggested it and it turned out to be a really great choice. To be honest, barely tasted the gin, which I would say is a small shame since Bombay is delicious. 

--- Would eat again but wouldn't die for: 

1. The rock shrimp tempura. This stuff is crack. It's incredibly tasty and I can see myself binge eating it by myself in a dark room while watching Netflix but wouldn't board a plane to have it again. 

2. The crispy rice. I loved the seared tuna but something about the crispy rice square didn't blend well for me with the consistency of the seared tuna. I felt like my mouth was fighting to properly blend the two while trying to ignore all the hard crispy rice bits getting stuck between my teeth. My friend really loves this dish though so maybe it's just my personal preference.",4
TYbS-lpmM4vZUyXkWP3Fow,"Oh my! I have never had a facial like this. I had with a dermatologist in the past so I was kind of ape ting the same and I saw that it was an hr long and kind of complaint in my head why so long. When I was there I was thinking I don't want it to end. 
Jeannine was my esthetician and she was knowledgeable, kind, helpful, amazing (to round it up) 
She clean my face, clean it with a warm towel, massage my shoulders, part of my back, put some sort of mask(with something that felt like silk brushing my face) then put a humidifier, and I also got arms massage. 
Got to love it.",5
uLh79HD5EUAa3La5tBHmWA,"So happy to have found this place! These are the first people that have been able to show me serious results with hair removal (pretty light hair) and they are so knowledgable on everything skin/beauty. I absolutely love the attitudes of the staff- they can relate.  Senza Pelo has provided me with a comfortable experience, and GREAT results. Totally recommended!",5
dKPcbEGVEtvgoVylZSkvpA,"Great romantic night on the patio. I recommend going later than fighting thru the rush. Patio was perfect. Take your time here. Have a bottle of wine, the bruschetta sampler, great specials, and shared deserts. 
Valet was convenient. Greeters hospitable.
Our waiter was so kind! I wish I remembered his name for next time. Marco Bella runs a great team of chefs here. 
Honestly I don't think I'd change a thing.",5
5UDnyjklX-jt_5-9ZqQ29g,"The food is decent, though the prices seem a bit high for the quality. I enjoyed the machaca. The food was terribly slow to arrive though, which put a damper on the rest of the experience. A couple that came in after my party received their food before we did. 

On a lighter note, the soup was made fresh.",3
cUr3KCJi2UJNSM8gk2owiQ,"My nails are always on point. They take their time an are always friendly. 
Ask for Tyler or Lilly they are both so nice an will take care of you 100% 
My nails have never looked so good !!",5
wttJkYDxkL8x-_n6wv1mzA,"Dr. Wu was absolutely accommodating towards our schedule. He got my Fiance and I in the same day.  My fiance have always been afraid of getting adjusted,  Dr. Wu made him feel comfortable and relaxed. I did a lot of heavy lifting at my old job, just had my son not too long ago,  getting myself adjusted helped my body feel so much better.",5
6EwS88Y46Crr-pusjWbutQ,"Food was pretty good, but even though I ate at the restaurant, everything is served in Styrofoam to go boxes.",3
skAlIpLtnFqjePQGBHcH6A,"Lac Vien just kind of popped up suddenly in the middle of no where. 

Located in a plaza where Subway and McDonalds rules (the lunch choices for people working in the area) and Lac Vien is a welcome additional in this neighbourhood.

The interior is clean, spacious and open. A lot of windows seating that overlooking Markham Road that traffic zooming along way above the speed limit. Music is ""romantic"" and ""loud"" with the dial set at Sirius XM  Love.

Pho House Special Large ($7.50) is one of the better ones in Scarborough area as the broth has a nice aroma of herbs and the beef quality was good (the beef brisket was so tender even with its thicker cut!). The soup itself though can be a little hotter maybe I should request that next time?

Iced Coffee with Condensed Milk ($3.50) is made not from the traditional metal French drip filter but from a BVB coffee machine. A perfect ""dessert"" drink for me though.

Service was fast and polite! 

Lac Vien definitely a good Vietnamese restaurant if you have some cravings for Vietnamese food. They serves more than Pho! I think I will be back to try their Phnom Penh Noodles next time!",4
